Invoice_ID,Vendor_Name,Vendor_ID,Category,Invoice_Date,Payment_Date,Currency,Invoice_Amount,Tax,Total_Amount,Payment_Status,Cost_Center,Description
INV-00001,Gamma Supplies Ltd,V-001,IT Services,2024-01-03,2024-01-21,USD,4378.73,350.3,4729.03,Paid,CC-005,Purchase
INV-00008,Capex Solutions Ltd,V-008,Utilities,2024-01-09,2024-01-15,USD,6196.39,495.71,6692.1,Paid,CC-010,Purchase
INV-00009,Harbor Facilities Group,V-007,Logistics,2024-01-09,2024-01-18,USD,2537.47,203.0,2740.47,Paid,CC-012,Purchase
INV-00004,Harbor Facilities Group,V-007,Capex,2024-01-12,2024-01-28,USD,3103.71,248.3,3352.01,Paid,CC-002,Purchase
INV-00010,Vertex IT Services,V-006,Facilities,2024-01-12,2024-01-18,USD,6611.82,528.95,7140.77,Paid,CC-007,Purchase
INV-00013,Harbor Facilities Group,V-007,IT Services,2024-01-13,2024-01-28,USD,5445.0,435.6,5880.6,Paid,CC-006,Purchase
INV-00014,Harbor Facilities Group,V-007,Capex,2024-01-13,2024-01-18,USD,3105.9,248.47,3354.37,Paid,CC-003,Purchase
INV-00019,Capex Solutions Ltd,V-008,MRO,2024-01-14,2024-01-28,USD,5588.82,447.11,6035.93,Paid,CC-020,Purchase
INV-00016,Harbor Facilities Group,V-007,Capex,2024-01-18,2024-01-24,USD,3103.55,248.28,3351.83,Paid,CC-012,Purchase
INV-00005,Harbor Facilities Group,V-007,IT Services,2024-01-19,2024-01-28,USD,5470.18,437.61,5907.79,Paid,CC-002,Purchase
INV-00012,Sterling MRO Co,V-003,Logistics,2024-01-19,2024-01-28,USD,2557.63,204.61,2762.24,Paid,CC-001,Purchase
INV-00003,Harbor Facilities Group,V-007,Utilities,2024-01-22,2024-01-28,USD,3997.06,319.76,4316.82,Paid,CC-009,Purchase
INV-00011,Harbor Facilities Group,V-007,IT Services,2024-01-23,2024-01-28,USD,5482.78,438.62,5921.4,Paid,CC-018,Purchase
INV-00015,Northwind Logistics Inc,V-002,Raw Materials,2024-01-24,2024-01-28,USD,5601.79,448.14,6049.93,Paid,CC-002,Purchase
INV-00018,Gridline Utilities LLC,V-004,Facilities,2024-01-24,2024-01-28,USD,3064.25,245.14,3309.39,Paid,CC-006,Purchase
INV-00006,Capex Solutions Ltd,V-008,Utilities,2024-01-25,2024-01-28,USD,6141.56,491.32,6632.88,Paid,CC-010,Purchase
INV-00007,Gridline Utilities LLC,V-004,Raw Materials,2024-01-25,2024-01-28,USD,2703.97,216.32,2920.29,Paid,CC-008,Purchase
INV-00017,Harbor Facilities Group,V-007,MRO,2024-01-27,2024-01-28,USD,1969.41,157.55,2126.96,Paid,CC-006,Purchase
INV-00002,Gamma Supplies Ltd,V-001,Capex,2024-01-27,2024-01-28,USD,6226.3,498.1,6724.4,Paid,CC-003,Purchase
INV-00036,Gridline Utilities LLC,V-004,MRO,2024-02-01,2024-02-06,USD,7443.8,595.5,8039.3,Paid,CC-018,Purchase
INV-00022,Pacific Packaging,V-005,Facilities,2024-02-05,2024-02-13,USD,5753.49,460.28,6213.77,Paid,CC-008,Purchase
INV-00025,Gridline Utilities LLC,V-004,MRO,2024-02-08,2024-02-27,USD,7426.39,594.11,8020.5,Paid,CC-016,Purchase
INV-00033,Gridline Utilities LLC,V-004,Utilities,2024-02-08,2024-02-22,USD,6130.95,490.48,6621.43,Paid,CC-014,Purchase
INV-00026,Gridline Utilities LLC,V-004,Packaging,2024-02-08,2024-02-15,USD,2396.72,191.74,2588.46,Paid,CC-010,Purchase
INV-00031,Northwind Logistics Inc,V-002,Capex,2024-02-09,2024-02-28,USD,5413.47,433.08,5846.55,Paid,CC-020,Purchase
INV-00032,Pacific Packaging,V-005,Utilities,2024-02-10,2024-02-18,USD,5044.91,403.59,5448.5,Paid,CC-020,Purchase
INV-00020,Vertex IT Services,V-006,Utilities,2024-02-11,2024-02-22,USD,6332.68,506.61,6839.29,Paid,CC-001,Purchase
INV-USD-ALT,Northwind Logistics Inc,V-002,Logistics,2024-02-14,2024-02-21,US$,725.5,58.04,783.54,Paid,CC-009,Currency code variant
INV-00030,Gamma Supplies Ltd,V-001,Logistics,2024-02-14,2024-02-28,USD,3614.8,289.18,3903.98,Paid,CC-003,Purchase
INV-00035,Harbor Facilities Group,V-007,MRO,2024-02-15,2024-02-28,USD,1959.02,156.72,2115.74,Paid,CC-017,Purchase
INV-00027,Vertex IT Services,V-006,Logistics,2024-02-15,2024-02-23,USD,3557.99,284.64,3842.63,Paid,CC-010,Purchase
INV-00038,Sterling MRO Co,V-003,Logistics,2024-02-18,2024-02-28,USD,2626.06,210.08,2836.14,Paid,CC-016,Purchase
INV-00037,Pacific Packaging,V-005,Logistics,2024-02-18,2024-02-28,USD,4860.97,388.88,5249.85,Paid,CC-003,Purchase
INV-00021,Gamma Supplies Ltd,V-001,MRO,2024-02-20,2024-02-28,USD,5906.17,472.49,6378.66,Paid,CC-019,Purchase
INV-00028,Harbor Facilities Group,V-007,Raw Materials,2024-02-21,2024-02-28,USD,5880.9,470.47,6351.37,Paid,CC-013,Purchase
INV-00029,Northwind Logistics Inc,V-002,Capex,2024-02-21,2024-02-28,USD,5389.76,431.18,5820.94,Paid,CC-016,Purchase
INV-00024,Gamma Supplies Ltd,V-001,MRO,2024-02-26,2024-02-28,USD,6038.34,483.07,6521.41,Paid,CC-014,Purchase
INV-00023,Northwind Logistics Inc,V-002,MRO,2024-02-26,2024-02-28,USD,5355.35,428.43,5783.78,Paid,CC-007,Purchase
INV-00034,Gridline Utilities LLC,V-004,Utilities,2024-02-26,2024-02-28,USD,6284.05,502.72,6786.77,Paid,CC-010,Purchase
INV-00056,Vertex IT Services,V-006,IT Services,2024-03-03,2024-03-08,USD,2589.42,207.15,2796.57,Paid,CC-020,Purchase
INV-00053,Gridline Utilities LLC,V-004,Raw Materials,2024-03-03,2024-03-15,USD,2736.73,218.94,2955.67,Paid,CC-020,Purchase
INV-00050,Northwind Logistics Inc,V-002,MRO,2024-03-04,2024-03-28,USD,5440.51,435.24,5875.75,Paid,CC-003,Purchase
INV-00042,Capex Solutions Ltd,V-008,Logistics,2024-03-05,2024-03-28,USD,2049.32,163.95,2213.27,Paid,CC-020,Purchase
INV-00039,Sterling MRO Co,V-003,Raw Materials,2024-03-07,2024-03-12,USD,6926.56,554.12,7480.68,Paid,CC-003,Purchase
INV-00040,Pacific Packaging,V-005,Capex,2024-03-11,2024-03-28,USD,6630.44,530.44,7160.88,Paid,CC-007,Purchase
INV-00051,Sterling MRO Co,V-003,Capex,2024-03-12,2024-03-20,USD,5780.65,462.45,6243.1,Paid,CC-018,Purchase
INV-00054,Sterling MRO Co,V-003,Logistics,2024-03-14,2024-03-25,USD,2617.73,209.42,2827.15,Paid,CC-020,Purchase
INV-DUP-A1A,Northwind Logistics Inc,V-002,Logistics,2024-03-15,2024-03-23,USD,2800.0,224.0,3024.0,Paid,CC-001,Freight — dup ID variant
INV-DUP-A1,Northwind Logistics Inc,V-002,Logistics,2024-03-15,2024-03-22,USD,2800.0,224.0,3024.0,Paid,CC-006,Freight — duplicate payment risk (A)
INV-00044,Capex Solutions Ltd,V-008,Raw Materials,2024-03-15,2024-03-26,USD,3649.77,291.98,3941.75,Paid,CC-014,Purchase
INV-00055,Pacific Packaging,V-005,MRO,2024-03-17,2024-03-28,USD,6903.41,552.27,7455.68,Paid,CC-003,Purchase
INV-00052,Harbor Facilities Group,V-007,Raw Materials,2024-03-20,2024-03-28,USD,5971.45,477.72,6449.17,Paid,CC-003,Purchase
INV-00045,Gridline Utilities LLC,V-004,MRO,2024-03-20,2024-03-28,USD,7175.79,574.06,7749.85,Paid,CC-008,Purchase
INV-00057,Northwind Logistics Inc,V-002,Capex,2024-03-20,2024-03-28,USD,5623.3,449.86,6073.16,Paid,CC-009,Purchase
INV-00047,Gamma Supplies Ltd,V-001,IT Services,2024-03-21,2024-03-28,USD,4227.04,338.16,4565.2,Paid,CC-008,Purchase
INV-00043,Northwind Logistics Inc,V-002,Facilities,2024-03-23,2024-03-28,USD,3501.22,280.1,3781.32,Paid,CC-005,Purchase
INV-00048,Pacific Packaging,V-005,Packaging,2024-03-24,2024-03-28,USD,2891.99,231.36,3123.35,Paid,CC-016,Purchase
INV-00041,Northwind Logistics Inc,V-002,Facilities,2024-03-25,2024-03-28,USD,3460.84,276.87,3737.71,Paid,CC-020,Purchase
INV-00046,Sterling MRO Co,V-003,Raw Materials,2024-03-26,2024-03-28,USD,6930.33,554.43,7484.76,Paid,CC-003,Purchase
INV-00049,Sterling MRO Co,V-003,Facilities,2024-03-26,2024-03-28,USD,4571.36,365.71,4937.07,Paid,CC-004,Purchase
